,roles,companies,locations,experience,skills
49,data scientist - nlp (natural language processing),axis bank,"['Chennai', ' Bengaluru', ' Hyderabad']",7-12 yrs,"['Natural Language Processing', 'Deep Learning', 'Python', 'Pytorch', 'Tensorflow', 'NLP', 'Algorithms', 'Artificial Intelligence']"
50,data scientist/business technology analyst - python/r/sql - startup,sv talent partner,['Gurgaon Gurugram'],7-12 yrs,"['IT Skills', 'Python', 'Project Management', 'Tableau', 'BPO', 'project management', 'Business Intelligence Tools', 'R']"
51,senior data scientist,ellie mae,['Pune'],7-12 yrs,"['IT Skills', 'Python', 'Software Development', 'Testing', 'Data Science', 'Machine Learning', 'Product management', 'Computer science']"
52,hiring for data scientist ( 4- 8 yrs) for bangalore iqvia,iqvia rds india pvt ltd,['Bengaluru'],7-12 yrs,"['IT Skills', 'Java', 'Python', 'Software Development', 'Data Science', 'Machine Learning', 'Nltk', 'Tensorflow']"
53,lead data scientist (banking operations),snaphunt,['Bengaluru'],7-12 yrs,"['Data Science', 'Clearing', 'Financial Services', 'Banking Operations', 'Linux', 'Machine Learning', 'Statistical Analysis', 'Statistics']"
54,data scientists,bloom consulting services,['Bengaluru'],7-12 yrs,"['Computer science', 'Risk analytics', 'Online marketing', 'Machine learning', 'Risk management', 'Operations', 'Financial services', 'SQL']"
55,principal data scientist,go-jek,['Bengaluru'],7-12 yrs,"['Unix', 'Computer science', 'Simulation', 'data science', 'Machine learning', 'Research', 'Distribution system', 'Forecasting']"
56,data scientist,indium software (india) limited,"['Chennai', ' Bengaluru']",7-12 yrs,"['IT Skills', 'Python', 'Testing', 'Machine Learning', 'Cloud', 'AWS', 'Azure', 'python']"
57,"data scientist - immediate requirement, us product based, bangalore",star light hr consulting,['Bengaluru'],7-12 yrs,"['Tensorflow', 'Nltk', 'Machine Learning', 'IT Skills', 'Python', 'Data Science', 'Matplotlib', 'Scikit-Learn']"
58,data scientist,catalyst,['Bengaluru'],7-12 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Data scientist', 'Data Science', 'Deep learning', 'data crunching', 'Predictive']"
59,data scientist - python/ sql,catalyst,['Bengaluru'],7-12 yrs,"['IT Skills', 'Java', 'Python', 'Data Science', 'Machine Learning', 'Data Science', 'Java', 'R']"
60,data scientist,neenopal intelligent solutions pvt. ltd.,['Bengaluru'],2-6 yrs,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Supply chain', 'data science', 'Coding', 'Neural networks']"
61,data scientist,mobiotics it solution pvt ltd,['Bengaluru(HSR Layout)'],2-6 yrs,"['IT Skills', 'Python', 'Data Science', 'Cloud', 'Big Data', 'AWS', 'Azure', 'Big Data Analytics']"
62,data scientist,narayana health,['Bengaluru'],2-6 yrs,"['Change Management', 'NLP', 'Algorithms', 'Business Analytics', 'Image Processing', 'Neural Networks', 'data scientist', 'Medical Imaging']"
63,data scientist,narayana health,['Bengaluru'],2-6 yrs,"['Change Management', 'NLP', 'Algorithms', 'Business Analytics', 'Image Processing', 'Neural Networks', 'data scientist', 'Medical Imaging']"
64,"data scientist, machine learning",execboardinasia,['Bengaluru'],2-6 yrs,"['customer segmentation', 'Analytical', 'Artificial Intelligence', 'Consulting', 'Machine learning', 'Research', 'Business solutions', 'Forecasting']"
65,"data scientist ( nlp,machine learning ,modelling,artificial intellige",i square soft,['Bengaluru'],2-6 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Tableau', 'Power BI', 'R', 'NLP']"
66,"data scientist ( nlp,machine learning ,modelling,artificial intellige",i square soft,['Bengaluru'],2-6 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Tableau', 'Power BI', 'R', 'NLP']"
67,chief data scientist,niit technologies,['Bengaluru'],2-6 yrs,"['Data Science', 'Java', 'R', 'Algorithms', 'SCALA', 'Problem Solving', 'Data Mining', 'Statistics']"
68,data scientist (sql +r /python + nlp +artificial intelligence ) for pr,i square soft,['Bengaluru'],2-6 yrs,"['IT Skills', 'Python', 'Artificial Intelligence', 'NLP', 'Data Scientist', 'Artificial Intelligence', 'R or Python', 'Modelling']"
69,data scientist (sql +r /python + nlp +artificial intelligence ) for pr,i square soft,['Bengaluru'],2-6 yrs,"['IT Skills', 'Python', 'Artificial Intelligence', 'NLP', 'Data Scientist', 'Artificial Intelligence', 'R or Python', 'Modelling']"
70,data scientist- 7-9 yrs - bangalore- 30 days joiners only,vision beyond resources india private limited,['Bengaluru'],2-6 yrs,"['IT Skills', 'Python', 'Cloud', 'Azure', 'Data scientist', 'Data Science']"
71,data scientist,"vlogix technologies pvt. ltd.,","['Chennai(Okkiyam Thuraipakkam)', ' Bengaluru']",2-6 yrs,"['IT Skills', 'Java', 'Python', 'Testing', 'AWS', 'Tableau', 'Power BI', 'Azure']"
72,associate data scientist,novotree minds consulting pvt limited,['Bengaluru'],2-6 yrs,"['Predictive Modeling', 'Logistic Regression', 'SAS', 'Artificial Intelligence', 'Machine Learning', 'Analytics', 'Data Science', 'Regression Analysis']"
73,urgent opening f or data scientist,encora technologies pte ltd.,['Chennai'],2-6 yrs,"['Natural Language Processing', 'Text Mining', 'Python', 'IT Skills', 'Python', 'Tensorflow', 'Data Mining', 'Data Visualization']"
74,data scientist (bank),snaphunt,['Bengaluru'],2-6 yrs,"['Business Solutions', 'Computer Science', 'Data Analysis', 'Data Mining', 'Data Modeling', 'Data Analytics', 'Statistical Analysis', 'Statistics']"
75,"data scientist - python, nlp, text mining",dun & bradstreet technologies & data services pvt ltd.,['Bengaluru'],2-6 yrs,"['R', 'Model implementation', 'NLP', 'Natural Language Processing', 'Advanced Analytics', 'Data Mining', 'Text Mining', 'Analytics']"
76,data scientist web analytics,symmetrical global search pvt ltd,['Bengaluru'],2-6 yrs,"['Web analytics', 'Coding', 'Data modeling', 'E-commerce', 'HTML', 'HR']"
