,roles,companies,locations,experience,skills
157,data scientist,d-cube analytics private limited,"['Chennai', ' Bengaluru']",2-2 yrs,"['Algorithms', 'Machine Learning', 'Python', 'IT Skills', 'Python', 'Machine Learning', 'Cloud', 'AWS']"
158,data scientist (ml and time series techniques for forecasting),core compete pvt. ltd.,"['Pune', ' Hyderabad(Gachibowli)']",2-2 yrs,"['Time Series Analysis', 'Machine Learning', 'Python', 'IT Skills', 'Python', 'Machine Learning', 'Tensorflow', 'Matplotlib']"
159,data scientist predictive modelling,symmetrical global search pvt ltd,['Bengaluru'],2-2 yrs,"['Data modeling', 'Coding', 'E-commerce', 'Predictive modeling', 'HTML', 'HR']"
160,data scientist,d-cube analytics private limited,"['Chennai', ' Bengaluru']",3-8 yrs,"['Algorithms', 'Machine Learning', 'Python', 'IT Skills', 'Python', 'Machine Learning', 'Cloud', 'AWS']"
161,data scientist (ml and time series techniques for forecasting),core compete pvt. ltd.,"['Pune', ' Hyderabad(Gachibowli)']",3-8 yrs,"['Time Series Analysis', 'Machine Learning', 'Python', 'IT Skills', 'Python', 'Machine Learning', 'Tensorflow', 'Matplotlib']"
162,data scientist predictive modelling,symmetrical global search pvt ltd,['Bengaluru'],3-8 yrs,"['Data modeling', 'Coding', 'E-commerce', 'Predictive modeling', 'HTML', 'HR']"
163,data scientist,levi strauss & co.,['Bengaluru'],3-8 yrs,"['Supply chain', 'Computer science', 'Cloud computing', 'C++', 'Automation', 'Business process improvement', 'Analytical', 'FMCG']"
164,data scientist - 09,accenture,['Bengaluru'],3-8 yrs,"['IT Skills', 'Python', 'Networking', 'Consulting', 'Manager Technology', 'Business modeling', 'professional services', 'Python']"
165,data scientist,peoplekonnect,['Hyderabad'],3-8 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Tableau', 'Pytorch', 'Predictive Modeling', 'R', 'NLP']"
166,analyst data scientist,camsdata technologies india pvt ltd,"['Chennai', ' Pune', ' Mumbai', ' Bengaluru', ' Hyderabad']",3-8 yrs,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Big Data', 'Computer science', 'Evaluation', 'Data analysis']"
167,data scientist,rgf professional recruitment india,['Mumbai'],3-8 yrs,"['data science', 'Analytical', 'Machine learning', 'Management', 'Business solutions', 'SQL', 'Python', 'Recruitment']"
168,data scientist,accenture,['Mumbai'],3-8 yrs,"['IT Skills', 'Python', 'Networking', 'Consulting', 'Manager Technology', 'Business modeling', 'professional services', 'Python']"
169,data scientist,trueview hr consulting pvt. ltd,['Pune'],3-8 yrs,"['IT Skills', 'Python', 'Tableau', 'R', 'Statistical Software', 'SAS', 'Factor Analysis', 'Web Technologies']"
170,avp - data scientist - kpo,elixir web solutions,['Gurgaon Gurugram'],3-8 yrs,"['Data Science', 'Data Scientist', 'Artificial Intelligence', 'Data Management', 'Data Analytics', 'Machine Learning', 'Statistics', 'Analytics']"
171,avp - data scientist - kpo,elixir web solutions,['Gurgaon Gurugram'],3-8 yrs,"['Data Science', 'Data Scientist', 'Artificial Intelligence', 'Data Management', 'Data Analytics', 'Machine Learning', 'Statistics', 'Analytics']"
172,data scientist - nlp/ml/python,elixir web solutions,['Gurgaon Gurugram'],3-8 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Project Management', 'BPO', 'project management', 'NLP', 'Data Engineering']"
173,mgr - data scientist ( immediate joinees only _ 15 days ),pylon management consulting pvt ltd,"['Gurgaon', ' Noida']",3-8 yrs,"['Logistic Regression', 'Time Series Analysis', 'Cluster Analysis', 'deep learning', 'advanced analytics', 'python', 'client engagement', 'statistical modeling']"
174,data scientist - analytics & insights team - ecommerce/ food tech/,confidential,['Delhi NCR'],3-8 yrs,"['Data Science', 'Data Scientist', 'Statistical Modeling', 'Data Mining', 'Data Visualization', 'Data Modeling', 'Data Analytics', 'Statistics']"
175,data scientist/teaching associate - education,market scope,['Chennai'],3-8 yrs,"['Exploratory Data Analysis', 'Coaching', 'Academics', 'Use Cases', 'Education', 'Data Cleansing', 'Data Collection', 'Tableau']"
176,data scientist,keysite solutions executive search,['Chennai'],3-8 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Data Scientist - Machine Learning', 'Python', 'Deep Learning', 'ML']"
177,data scientist,globalhunt india private limited,['Delhi'],3-8 yrs,"['GCP', 'Aiml', 'Keras', 'Data Analytics', 'Machine Learning', 'AWS', 'Scikit-Learn', 'Deep Learning']"
178,data scientist - hadoop/mapreduce,confidential,['India'],3-8 yrs,"['IT Skills', 'Java', 'Big Data', 'analytics', 'Java', 'predictive modeling', 'Hadoop', 'Data Management']"
179,principal data scientist,bigshyft hiring for directech labs,['Noida'],3-8 yrs,"['Statistical Modelling', 'Machine Learning', 'Python', 'SQL', 'Predictive Analytics']"
